id;name;essential_notes;address;lat;lng;details;url;phone
50;Public Library Corvallis, Friends of ;;645 NW Monroe Ave, Corvallis, OR 97330;44.565702;-123.2644;;https://friendsofthecbclibrary.org/;541-766-6928
51;Quilts From Caring Hands;(cotton quilts);;;;;;541-758-8161
52;Rapid Refill Ink ;;252 SW Madison Ave #110, Corvallis, OR 97333;44.563062;-123.261255;;;541-758-8444
53;re·volve;(women's resale boutique);103 SW 2nd St, Corvallis, OR 97333;44.563823;-123.259459;;www.revolveresale.com;541-754-1154
54;Runway Fashion Exchange ;;264 SW Madison Ave, Corvallis, OR 97333;44.563088;-123.261099;;https://runwayfashionexchange.com;541-360-0100
55;Schools--Public, Private, Charter ;;;;;;;various
56;Second Glance / Annex;;312 SW 3rd St, Corvallis, OR 97333;44.562124;-123.262353;;www.glanceagain.com/;541.753.8011
57;Senior Center, Corvallis;;2601 NW Tyler Ave, Corvallis, OR 97330;44.573055;-123.280457;;http://www.corvallisoregon.gov/index.aspx?page=257;541-766-6959
58;South Corvallis Food Bank;;1800 SW 3rd St #110, Corvallis, OR 97333;44.546694;-123.267173;;www.southcorvallisfoodbank.org;541-753-4263
59;Spaeth Heritage House ;;137 N 13th St, Philomath, OR 97370;44.540968;-123.367593;;https://www.facebook.com/Spaeth-Heritage-House-515968241847430/;(541) 307-0349
60;Stone Soup (St Mary's Church);;501 NW 25th St, Corvallis, OR 97330;44.572976;-123.278457;(St. Mary's Church);www.stonesoupcorvallis.org/about.html;541-757-1988
61;St Vincent de Paul Thrift/Pantry ;;501 NW 25th St, Corvallis, OR 97330;44.572976;-123.278457;(next to St Mary's);;541-757-1988
62;UPS Store Corvallis;;922 NW Circle Blvd #160, Corvallis, OR 97330;44.588077;-123.257306;;;(541) 752-0056
63;Vina Moses (for low income citizens);;968 NW Garfield Ave, Corvallis, OR 97330;44.582928;-123.260511;;www.vinamoses.org;541-753-1420
64;Arc Thrift Store Philomath;;936 Main St, Philomath, OR 97370;44.539899;-123.372789;;arcbenton.org;(541) 929-3946
65;Browser's Bookstore;;121 NW 4th St, Corvallis, OR 97330;44.564987;-123.261451;;http://www.browsersbookstore.com/;(541) 758-1121
66;Freecycle;;;;;;Freecycle.org;
67;The Alley ;;312 SW Jefferson Ave, Corvallis, OR 97333;44.562303;-123.262376;;www.glanceagain.com/the-alley/;541.753.4069
68;UPS Store Philomath;;5060 SW Philomath Blvd, Corvallis, OR 97333;44.552006;-123.307558;;;(541) 752-1830
